Saint Name	Year of Death	Famous Quote	Patron Saint Of
St. Peter	64	Lord, you know that I love you.	The Papacy, Fishermen
St. Paul	67	I have fought the good fight, I have finished the race.	Authors, Missionaries
St. Augustine of Hippo	430	Our hearts are restless until they rest in Thee.	Theologians, Brewers
St. Patrick	461	Christ with me, Christ before me, Christ behind me.	Ireland, Engineers
St. Benedict of Nursia	547	Idleness is the enemy of the soul.	Europe, Monks
St. Francis of Assisi	1226	Preach the Gospel at all times. Use words if necessary.	Animals, Ecology
St. Anthony of Padua	1231	The breadth of charity widens the narrow heart of the sinner.	Lost Items, The Poor
St. Thomas Aquinas	1274	Nothing but you, Lord.	Students, Universities
St. Catherine of Siena	1380	Love transforms you into what you love.	Italy, Nurses
St. Joan of Arc	1431	If I am not in God's Grace, may God place me there; if I am, may God so keep me	France, Soldiers
St. Ignatius of Loyola	1556	Love is shown more in deeds than in words.	Education, Soldiers
St. Teresa of Avila	1582	Let nothing disturb you, let nothing frighten you.	Headache Sufferers, Writers
St. Francis de Sales	1622	Be who you are and be that well.	Journalists, Authors
St. Vincent de Paul	1660	Charity is the Samaritan who pours oil on the wounds of the traveler.	Charitable Societies
St. Bernadette Soubirous	1879	I shall do everything for Heaven.	Illness, Shepherds
St. Thérèse of Lisieux	1897	I will spend my heaven doing good on earth.	Florists, Missionaries
St. Maximilian Kolbe	1941	The most deadly poison of our times is indifference.	Prisoners, Journalists
St. Padre Pio	1968	Pray, hope, and don't worry.	Pain, Stress Relief
St. Teresa of Calcutta	1997	Peace begins with a smile.	World Youth Day
St. John Paul II	2005	Do not be afraid. Open wide the doors for Christ.	Young People, Families
St. Jude Thaddeus	65	Keep yourselves in the love of God.	Lost Causes
St. Nicholas	343	The giver of every good and perfect gift has called upon us.	Children, Sailors
St. Valentine	269	Love your neighbor as yourself.	Love, Happy Marriages
St. Christopher	251	Behold, the Lord is thy helper.	Travelers
St. Sebastian	288	I have been delivered by Christ.	Athletes, Soldiers
St. George	303	Believe in God and Jesus Christ, and be baptized, and I shall slay the dragon.	England, Soldiers
St. Cecilia	230	Arise, O soldiers of Christ, throw away the works of darkness.	Musicians
St. Lucy	304	To the pure all things are pure.	The Blind
St. Agnes	304	Christ has made my soul beautiful.	Chastity, Gardeners
St. Scholastica	543	I asked you and you would not listen; so I asked my God.	Nuns, Convulsive Children
St. Dominic	1221	A man who governs his passions is master of the world.	Astronomers
St. Rose of Lima	1617	Apart from the Cross, there is no other ladder by which we may get to heaven.	Latin America, Florists
St. Martin de Porres	1639	Everything, even sweeping... can be a prayer.	Mixed-Race People, Social Justice
St. Elizabeth Ann Seton	1821	The first end I propose in our daily work is to do the will of God.	Catholic Schools
St. John Bosco	1888	Servite Domino in laetitia (Serve the Lord with joy).	Apprentices, Editors
St. Faustina Kowalska	1938	Jesus, I trust in You.	Mercy
